Operation,calendarCode,schoolId,schoolYear,calendarTypeDescriptor
CREATE,2,111,2020,School
CREATE,2,112,2020,School
CREATE,2,113,2020,School
CREATE,2,114,2020,School
CREATE,2,116,2020,School
CREATE,2,117,2020,School
CREATE,2,118,2020,School
CREATE,2,122,2020,School
CREATE,2,123,2020,School
CREATE,2,124,2020,School
CREATE,2,125,2020,School
CREATE,2,126,2020,School
CREATE,2,127,2020,School
CREATE,2,129,2020,School
CREATE,2,130,2020,School
CREATE,2,132,2020,School
CREATE,2,133,2020,School
CREATE,2,136,2020,School
CREATE,2,138,2020,School
CREATE,2,140,2020,School
CREATE,2,141,2020,School
CREATE,2,143,2020,School
CREATE,2,144,2020,School
CREATE,2,145,2020,School
CREATE,2,146,2020,School
CREATE,2,147,2020,School
CREATE,2,148,2020,School
CREATE,2,149,2020,School
CREATE,2,151,2020,School
CREATE,2,152,2020,School
CREATE,2,154,2020,School
CREATE,2,155,2020,School
CREATE,2,156,2020,School
CREATE,2,157,2020,School
CREATE,2,158,2020,School
CREATE,2,159,2020,School
